자치구,행정동,만0~2세_인구수,만3~5세_인구수,만0~2세_국공립,만0~2세_가정,만0~2세_민간,만0~2세_기타,만3~5세_국공립,만3~5세_가정,만3~5세_민간,만3~5세_기타,만3~5세_유치원,만0~2세_어린이집,만3~5세_어린이집,만0~2세_가정보육,만3~5세_가정보육,만0~2세_어린이집_이용률,만0~2세_국공립_이용률,만0~2세_가정_이용률,만0~2세_민간_이용률,만0~2세_기타_이용률,만3~5세_어린이집_이용률,만3~5세_국공립_이용률,만3~5세_가정_이용률,만3~5세_민간_이용률,만3~5세_기타_이용률,만3~5세_유치원_이용률
강남구,개포1동,43,120,0,0,15,0,0,0,6,0,17,15,6,28,97,0.3488372093023256,0.0,0.0,0.3488372093023256,0.0,0.05,0.0,0.0,0.05,0.0,0.14166666666666666
강남구,개포2동,421,481,79,50,0,0,78,0,0,0,182,129,78,292,221,0.30641330166270786,0.1876484560570071,0.1187648456057007,0.0,0.0,0.16216216216216217,0.16216216216216217,0.0,0.0,0.0,0.3783783783783784
강남구,개포4동,404,479,172,43,78,17,114,0,103,26,102,310,243,94,134,0.7673267326732673,0.42574257425742573,0.10643564356435643,0.19306930693069307,0.04207920792079208,0.5073068893528184,0.23799582463465555,0.0,0.2150313152400835,0.054279749478079335,0.21294363256784968
강남구,논현1동,205,231,62,17,12,0,60,0,51,0,42,91,111,114,78,0.44390243902439025,0.3024390243902439,0.08292682926829269,0.05853658536585366,0.0,0.4805194805194805,0.2597402597402597,0.0,0.22077922077922077,0.0,0.18181818181818182
강남구,논현2동,275,359,56,0,31,12,48,0,0,7,84,99,55,176,220,0.36,0.20363636363636364,0.0,0.11272727272727273,0.04363636363636364,0.1532033426183844,0.13370473537604458,0.0,0.0,0.019498607242339833,0.233983286908078
강남구,대치1동,159,427,62,0,123,0,37,0,12,0,120,185,49,0,258,1.0,0.389937106918239,0.0,0.7735849056603774,0.0,0.11475409836065574,0.08665105386416862,0.0,0.02810304449648712,0.0,0.2810304449648712
강남구,대치2동,279,474,151,34,0,50,113,0,0,43,60,235,156,44,258,0.8422939068100358,0.5412186379928315,0.12186379928315412,0.0,0.17921146953405018,0.3291139240506329,0.23839662447257384,0.0,0.0,0.09071729957805907,0.12658227848101267
강남구,대치4동,157,196,81,22,48,78,87,0,71,87,53,229,245,0,0,1.0,0.5159235668789809,0.14012738853503184,0.3057324840764331,0.4968152866242038,1.0,0.44387755102040816,0.0,0.3622448979591837,0.44387755102040816,0.27040816326530615
강남구,도곡1동,313,463,38,55,42,0,55,0,9,0,189,135,64,178,210,0.43130990415335463,0.12140575079872204,0.1757188498402556,0.134185303514377,0.0,0.13822894168466524,0.11879049676025918,0.0,0.019438444924406047,0.0,0.408207343412527
강남구,도곡2동,477,797,87,20,42,0,96,0,0,0,265,149,96,328,436,0.31236897274633124,0.18238993710691823,0.041928721174004195,0.0880503144654088,0.0,0.12045169385194479,0.12045169385194479,0.0,0.0,0.0,0.3324968632371393
강남구,삼성1동,204,276,84,0,47,37,92,0,8,30,144,168,130,36,2,0.8235294117647058,0.4117647058823529,0.0,0.23039215686274508,0.18137254901960784,0.47101449275362317,0.3333333333333333,0.0,0.028985507246376812,0.10869565217391304,0.5217391304347826
강남구,삼성2동,463,689,103,49,108,58,37,0,150,67,76,318,254,145,359,0.6868250539956804,0.2224622030237581,0.10583153347732181,0.23326133909287258,0.12526997840172785,0.3686502177068215,0.05370101596516691,0.0,0.21770682148040638,0.09724238026124818,0.11030478955007257
강남구,세곡동,837,1144,318,159,84,29,322,0,17,12,479,590,351,247,314,0.7048984468339307,0.37992831541218636,0.18996415770609318,0.1003584229390681,0.03464755077658303,0.3068181818181818,0.28146853146853146,0.0,0.01486013986013986,0.01048951048951049,0.4187062937062937
강남구,수서동,243,212,100,31,66,25,61,0,45,27,576,222,133,21,0,0.9135802469135802,0.411522633744856,0.12757201646090535,0.2716049382716049,0.102880658436214,0.6273584905660378,0.28773584905660377,0.0,0.21226415094339623,0.12735849056603774,1.0
강남구,신사동,182,318,100,1,34,0,98,0,0,0,86,135,98,47,134,0.7417582417582418,0.5494505494505495,0.005494505494505495,0.18681318681318682,0.0,0.3081761006289308,0.3081761006289308,0.0,0.0,0.0,0.27044025157232704
강남구,압구정동,438,630,112,12,0,28,60,0,0,38,84,152,98,286,448,0.3470319634703196,0.2557077625570776,0.0273972602739726,0.0,0.0639269406392694,0.15555555555555556,0.09523809523809523,0.0,0.0,0.06031746031746032,0.13333333333333333
강남구,역삼1동,294,333,27,16,32,109,23,0,71,75,34,184,169,110,130,0.6258503401360545,0.09183673469387756,0.05442176870748299,0.10884353741496598,0.3707482993197279,0.5075075075075075,0.06906906906906907,0.0,0.2132132132132132,0.22522522522522523,0.1021021021021021
강남구,역삼2동,599,709,62,12,133,15,103,0,5,13,86,222,121,377,502,0.37061769616026713,0.10350584307178631,0.02003338898163606,0.22203672787979967,0.025041736227045076,0.17066290550070523,0.14527503526093088,0.0,0.007052186177715092,0.018335684062059238,0.12129760225669958
강남구,일원1동,172,233,55,15,63,43,43,0,84,9,52,176,136,0,45,1.0,0.31976744186046513,0.0872093023255814,0.36627906976744184,0.25,0.5836909871244635,0.18454935622317598,0.0,0.3605150214592275,0.03862660944206009,0.22317596566523606
강남구,일원2동,300,378,91,28,33,16,97,0,0,31,173,168,128,132,77,0.56,0.30333333333333334,0.09333333333333334,0.11,0.05333333333333334,0.3386243386243386,0.2566137566137566,0.0,0.0,0.082010582010582,0.4576719576719577
