자치구,행정동,만0~2세_인구수,만3~5세_인구수,만0~2세_국공립,만0~2세_가정,만0~2세_민간,만0~2세_기타,만3~5세_국공립,만3~5세_가정,만3~5세_민간,만3~5세_기타,만3~5세_유치원,만0~2세_어린이집,만3~5세_어린이집,만0~2세_가정보육,만3~5세_가정보육,만0~2세_어린이집_이용률,만0~2세_국공립_이용률,만0~2세_가정_이용률,만0~2세_민간_이용률,만0~2세_기타_이용률,만3~5세_어린이집_이용률,만3~5세_국공립_이용률,만3~5세_가정_이용률,만3~5세_민간_이용률,만3~5세_기타_이용률,만3~5세_유치원_이용률,만0~2세_추가이용_희망아동수,만3~5세_추가이용_희망아동수,만0~2세_미충족_보육수요,만3~5세_미충족_보육수요,만0~2세_전체_보육수요,만3~5세_전체_보육수요,만0~2세_국공립_희망아동수,만3~5세_국공립_희망아동수,만0~2세_국공립_미충족_보육수요,만3~5세_국공립_미충족_보육수요,만0~2세_국공립_보육수요,만3~5세_국공립_보육수요
강남구,개포1동,43,120,0,0,15,0,0,0,6,0,17,15,6,28,97,0.3488372093023256,0.0,0.0,0.3488372093023256,0.0,0.05,0.0,0.0,0.05,0.0,0.1416666666666666,3.332,16.864,0.07748837209302326,0.14053333333333334,0.4263255813953488,0.19053333333333333,21.534,33.346,0.5007906976744185,0.2778833333333333,0.5007906976744185,0.2778833333333333
강남구,개포2동,421,481,79,50,0,0,78,0,0,0,182,129,78,292,221,0.3064133016627078,0.1876484560570071,0.1187648456057007,0.0,0.0,0.1621621621621621,0.1621621621621621,0.0,0.0,0.0,0.3783783783783784,34.748,41.574,0.08253681710213776,0.08643243243243243,0.38895011876484553,0.24859459459459451,209.456,76.11500000000001,0.4975201900237529,0.15824324324324326,0.68516864608076,0.32040540540540535
강남구,개포4동,404,479,172,43,78,17,114,0,103,26,102,310,243,94,134,0.7673267326732673,0.4257425742574257,0.1064356435643564,0.193069306930693,0.042079207920792,0.5073068893528184,0.2379958246346555,0.0,0.2150313152400835,0.0542797494780793,0.2129436325678496,11.186,25.024,0.02768811881188119,0.05224217118997913,0.7950148514851485,0.5595490605427975,84.738,56.912,0.20974752475247524,0.11881419624217118,0.6354900990099009,0.3568100208768267
강남구,논현1동,205,231,62,17,12,0,60,0,51,0,42,91,111,114,78,0.4439024390243902,0.3024390243902439,0.0829268292682926,0.0585365853658536,0.0,0.4805194805194805,0.2597402597402597,0.0,0.2207792207792207,0.0,0.1818181818181818,13.565999999999999,14.184000000000001,0.06617560975609756,0.06140259740259741,0.5100780487804878,0.5419220779220779,83.11999999999999,30.948,0.4054634146341463,0.13397402597402597,0.7079024390243902,0.3937142857142857
강남구,논현2동,275,359,56,0,31,12,48,0,0,7,84,99,55,176,220,0.36,0.2036363636363636,0.0,0.1127272727272727,0.0436363636363636,0.1532033426183844,0.1337047353760445,0.0,0.0,0.0194986072423398,0.233983286908078,20.944,39.248000000000005,0.07615999999999999,0.10932590529247913,0.43616,0.2625292479108635,128.07399999999998,75.484,0.4657236363636363,0.2102618384401114,0.6693599999999998,0.3439665738161559
강남구,대치1동,159,427,62,0,123,0,37,0,12,0,120,185,49,0,258,1.0,0.389937106918239,0.0,0.7735849056603774,0.0,0.1147540983606557,0.0866510538641686,0.0,0.0281030444964871,0.0,0.2810304449648712,0.0,46.50000000000001,0.0,0.1088992974238876,1.0,0.2236533957845433,17.465999999999998,89.034,0.10984905660377357,0.2085105386416862,0.4997861635220126,0.29516159250585483
강남구,대치2동,279,474,151,34,0,50,113,0,0,43,60,235,156,44,258,0.8422939068100358,0.5412186379928315,0.1218637992831541,0.0,0.1792114695340501,0.3291139240506329,0.2383966244725738,0.0,0.0,0.090717299578059,0.1265822784810126,5.236,45.18000000000001,0.018767025089605732,0.09531645569620255,0.8610609318996415,0.42443037974683545,42.419999999999995,91.09800000000001,0.15204301075268814,0.19218987341772154,0.6932616487455197,0.43058649789029535
강남구,대치4동,157,196,81,22,48,78,87,0,71,87,53,229,245,0,0,1.0,0.5159235668789809,0.1401273885350318,0.3057324840764331,0.4968152866242038,1.0,0.4438775510204081,0.0,0.3622448979591837,0.4438775510204081,0.2704081632653061,0.0,1.166,0.0,0.005948979591836734,1.0,1.0,21.016,13.749,0.13385987261146495,0.07014795918367348,0.6497834394904458,0.5140255102040816
강남구,도곡1동,313,463,38,55,42,0,55,0,9,0,189,135,64,178,210,0.4313099041533546,0.121405750798722,0.1757188498402556,0.134185303514377,0.0,0.1382289416846652,0.1187904967602591,0.0,0.019438444924406,0.0,0.408207343412527,21.182,39.858000000000004,0.0676741214057508,0.08608639308855293,0.49898402555910537,0.22431533477321813,137.128,73.227,0.438108626198083,0.15815766738660908,0.559514376996805,0.2769481641468682
강남구,도곡2동,477,797,87,20,42,0,96,0,0,0,265,149,96,328,436,0.3123689727463312,0.1823899371069182,0.0419287211740041,0.0880503144654088,0.0,0.1204516938519447,0.1204516938519447,0.0,0.0,0.0,0.3324968632371393,39.032,79.95,0.08182809224318657,0.10031367628607278,0.3941970649895178,0.22076537013801747,236.10799999999998,149.317,0.49498532494758907,0.18734880803011295,0.6773752620545073,0.30780050188205765
강남구,삼성1동,204,276,84,0,47,37,92,0,8,30,144,168,130,36,2,0.8235294117647058,0.4117647058823529,0.0,0.230392156862745,0.1813725490196078,0.4710144927536231,0.3333333333333333,0.0,0.0289855072463768,0.108695652173913,0.5217391304347826,4.284,3.5079999999999996,0.020999999999999998,0.01271014492753623,0.8445294117647059,0.48372463768115936,36.876,5.162,0.18076470588235294,0.01870289855072464,0.5925294117647059,0.35203623188405797
