A0,A1,A2,A3
387,11110126,종로1가,"""2021-06-24T00:00:00.000Z"""
360,11110158,예지동,"""2021-06-24T00:00:00.000Z"""
361,11110178,송월동,"""2021-06-24T00:00:00.000Z"""
362,11110120,신문로1가,"""2021-06-24T00:00:00.000Z"""
363,11110123,서린동,"""2021-06-24T00:00:00.000Z"""
364,11110161,종로4가,"""2021-06-24T00:00:00.000Z"""
365,11110156,종로3가,"""2021-06-24T00:00:00.000Z"""
366,11110177,평동,"""2021-06-24T00:00:00.000Z"""
367,11110135,관철동,"""2021-06-24T00:00:00.000Z"""
368,11110154,장사동,"""2021-06-24T00:00:00.000Z"""
374,11110185,홍지동,"""2021-06-24T00:00:00.000Z"""
375,11110167,충신동,"""2021-06-24T00:00:00.000Z"""
301,11140151,을지로5가,"""2021-06-24T00:00:00.000Z"""
302,11140141,주자동,"""2021-06-24T00:00:00.000Z"""
303,11140138,필동2가,"""2021-06-24T00:00:00.000Z"""
304,11140139,필동3가,"""2021-06-24T00:00:00.000Z"""
305,11140150,을지로4가,"""2021-06-24T00:00:00.000Z"""
306,11140114,태평로2가,"""2021-06-24T00:00:00.000Z"""
307,11140166,서소문동,"""2021-06-24T00:00:00.000Z"""
308,11140115,남대문로2가,"""2021-06-24T00:00:00.000Z"""
309,11140116,남대문로3가,"""2021-06-24T00:00:00.000Z"""
343,11140158,충무로3가,"""2021-06-24T00:00:00.000Z"""
326,11140130,남산동3가,"""2021-06-24T00:00:00.000Z"""
327,11140128,남산동1가,"""2021-06-24T00:00:00.000Z"""
328,11140122,회현동2가,"""2021-06-24T00:00:00.000Z"""
329,11140172,의주로2가,"""2021-06-24T00:00:00.000Z"""
330,11140169,의주로1가,"""2021-06-24T00:00:00.000Z"""
342,11140133,충무로5가,"""2021-06-24T00:00:00.000Z"""
331,11140131,저동1가,"""2021-06-24T00:00:00.000Z"""
332,11140126,명동1가,"""2021-06-24T00:00:00.000Z"""
334,11140161,저동2가,"""2021-06-24T00:00:00.000Z"""
316,11140109,장교동,"""2021-06-24T00:00:00.000Z"""
317,11140108,수하동,"""2021-06-24T00:00:00.000Z"""
318,11140140,남학동,"""2021-06-24T00:00:00.000Z"""
319,11140137,필동1가,"""2021-06-24T00:00:00.000Z"""
320,11140106,남대문로1가,"""2021-06-24T00:00:00.000Z"""
333,11140134,인현동2가,"""2021-06-24T00:00:00.000Z"""
321,11140107,삼각동,"""2021-06-24T00:00:00.000Z"""
276,11140173,만리동1가,"""2021-06-24T00:00:00.000Z"""
277,11140121,회현동1가,"""2021-06-24T00:00:00.000Z"""
278,11140120,봉래동2가,"""2021-06-24T00:00:00.000Z"""
279,11140162,신당동,"""2021-06-24T00:00:00.000Z"""
280,11140171,중림동,"""2021-06-24T00:00:00.000Z"""
281,11140142,예장동,"""2021-06-24T00:00:00.000Z"""
282,11140167,정동,"""2021-06-24T00:00:00.000Z"""
283,11140174,만리동2가,"""2021-06-24T00:00:00.000Z"""
284,11140163,흥인동,"""2021-06-24T00:00:00.000Z"""
285,11140165,황학동,"""2021-06-24T00:00:00.000Z"""
286,11140164,무학동,"""2021-06-24T00:00:00.000Z"""
287,11140112,남창동,"""2021-06-24T00:00:00.000Z"""
288,11140119,봉래동1가,"""2021-06-24T00:00:00.000Z"""
289,11140117,남대문로4가,"""2021-06-24T00:00:00.000Z"""
290,11140118,남대문로5가,"""2021-06-24T00:00:00.000Z"""
415,11290116,동선동1가,"""2021-06-24T00:00:00.000Z"""
416,11290121,안암동1가,"""2021-06-24T00:00:00.000Z"""
417,11290122,안암동2가,"""2021-06-24T00:00:00.000Z"""
418,11290111,삼선동1가,"""2021-06-24T00:00:00.000Z"""
419,11290117,동선동2가,"""2021-06-24T00:00:00.000Z"""
420,11290112,삼선동2가,"""2021-06-24T00:00:00.000Z"""
435,11290114,삼선동4가,"""2021-06-24T00:00:00.000Z"""
436,11290105,동소문동2가,"""2021-06-24T00:00:00.000Z"""
2050,11290113,삼선동3가,"""2021-06-24T00:00:00.000Z"""
421,11290125,안암동5가,"""2021-06-24T00:00:00.000Z"""
433,11290109,동소문동6가,"""2021-06-24T00:00:00.000Z"""
434,11290102,성북동1가,"""2021-06-24T00:00:00.000Z"""
2049,11290132,보문동3가,"""2021-06-24T00:00:00.000Z"""
423,11290115,삼선동5가,"""2021-06-24T00:00:00.000Z"""
424,11290130,보문동1가,"""2021-06-24T00:00:00.000Z"""
2371,11290103,돈암동,"""2021-06-24T00:00:00.000Z"""
425,11290110,동소문동7가,"""2021-06-24T00:00:00.000Z"""
426,11290107,동소문동4가,"""2021-06-24T00:00:00.000Z"""
427,11290108,동소문동5가,"""2021-06-24T00:00:00.000Z"""
428,11290106,동소문동3가,"""2021-06-24T00:00:00.000Z"""
429,11290127,보문동5가,"""2021-06-24T00:00:00.000Z"""
430,11290126,보문동4가,"""2021-06-24T00:00:00.000Z"""
705,11230102,용두동,"""2021-06-24T00:00:00.000Z"""
706,11230101,신설동,"""2021-06-24T00:00:00.000Z"""
450,11230106,장안동,"""2021-06-24T00:00:00.000Z"""
3712,11200114,성수동1가,"""2021-06-24T00:00:00.000Z"""
3701,11200103,홍익동,"""2021-06-24T00:00:00.000Z"""
3707,11200109,금호동1가,"""2021-06-24T00:00:00.000Z"""
3709,11200111,금호동3가,"""2021-06-24T00:00:00.000Z"""
3706,11200108,응봉동,"""2021-06-24T00:00:00.000Z"""
3708,11200110,금호동2가,"""2021-06-24T00:00:00.000Z"""
