기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,성북구,돈암2동,13,7,0,0,0,6,0,0
2020,성북구,안암동,8,4,0,0,0,1,0,3
2020,성북구,보문동,6,2,0,1,3,0,0,0
2020,성북구,정릉1동,12,6,0,0,5,1,0,0
2020,성북구,정릉2동,12,2,0,0,4,5,1,0
2020,성북구,정릉3동,6,3,0,3,0,0,0,0
2020,성북구,정릉4동,15,7,0,2,2,4,0,0
2020,성북구,길음1동,30,5,0,0,6,18,1,0
2020,성북구,길음2동,9,5,0,0,1,3,0,0
2020,성북구,월곡1동,19,6,1,1,2,9,0,0
2020,성북구,월곡2동,13,5,0,1,2,4,0,1
2020,성북구,장위1동,9,4,0,0,3,2,0,0
2020,성북구,장위2동,7,1,0,1,4,1,0,0
2020,성북구,장위3동,13,4,0,1,3,5,0,0
2020,성북구,성북동,5,2,1,0,1,1,0,0
2020,성북구,삼선동,9,5,0,0,1,2,0,1
2020,성북구,동선동,6,3,0,2,1,0,0,0
2020,성북구,종암동,28,10,0,1,11,6,0,0
2020,성북구,석관동,19,7,0,0,4,8,0,0
2020,강북구,번1동,9,4,0,0,2,2,0,1
2020,강북구,번2동,7,2,0,0,3,2,0,0
2020,강북구,번3동,10,3,1,0,2,4,0,0
2020,강북구,수유1동,9,2,0,0,6,1,0,0
2020,강북구,수유2동,12,3,0,0,7,2,0,0
2020,강북구,수유3동,9,1,0,1,6,0,0,1
2020,강북구,삼양동,15,7,0,1,3,4,0,0
2020,강북구,미아동,7,3,0,0,3,1,0,0
2020,강북구,송중동,13,8,0,0,4,1,0,0
2020,강북구,송천동,9,3,0,0,4,2,0,0
2020,강북구,삼각산동,27,17,0,0,5,5,0,0
2020,강북구,우이동,10,4,0,0,5,0,1,0
2020,강북구,인수동,7,5,0,0,1,0,1,0
2020,도봉구,쌍문1동,11,1,0,0,7,3,0,0
2020,도봉구,쌍문2동,10,3,0,0,3,4,0,0
2020,도봉구,쌍문3동,10,2,0,0,5,3,0,0
2020,도봉구,쌍문4동,14,5,0,0,1,8,0,0
2020,도봉구,방학1동,15,7,0,1,3,3,0,1
2020,도봉구,방학2동,11,2,0,0,8,1,0,0
2020,도봉구,방학3동,21,6,0,0,1,13,1,0
2020,도봉구,창1동,16,5,0,0,3,8,0,0
2020,도봉구,창2동,20,4,0,0,10,6,0,0
2020,도봉구,창3동,12,4,1,1,5,1,0,0
2020,도봉구,창4동,20,7,0,0,2,10,0,1
2020,도봉구,창5동,16,3,0,0,6,7,0,0
2020,도봉구,도봉1동,8,3,0,0,4,1,0,0
2020,도봉구,도봉2동,26,11,0,0,2,12,0,1
2020,노원구,월계1동,16,6,0,0,3,7,0,0
2020,노원구,월계2동,17,8,0,0,0,9,0,0
2020,노원구,월계3동,32,4,0,0,0,28,0,0
2020,노원구,공릉2동,32,8,0,0,6,15,0,3
2020,노원구,하계1동,10,4,0,0,1,5,0,0
2020,노원구,하계2동,14,4,0,0,1,9,0,0
2020,노원구,중계본동,7,2,0,0,1,4,0,0
2020,노원구,중계1동,10,4,0,0,4,2,0,0
2020,노원구,중계4동,10,1,1,0,0,8,0,0
2020,노원구,상계1동,25,10,1,0,5,8,1,0
2020,노원구,상계2동,12,3,0,0,6,1,0,2
2020,노원구,상계5동,8,1,0,0,3,4,0,0
2020,노원구,상계8동,39,8,0,0,1,29,0,1
2020,노원구,상계9동,20,3,0,0,0,17,0,0
2020,노원구,상계10동,16,3,0,0,0,13,0,0
2020,노원구,상계3.4동,16,7,1,0,5,3,0,0
2020,노원구,상계6.7동,31,5,0,0,1,24,0,1
2020,노원구,중계2.3동,29,6,2,0,0,21,0,0
2020,노원구,공릉1동,20,6,0,0,5,9,0,0
2020,은평구,녹번동,21,7,0,2,7,4,0,1
2020,은평구,불광1동,23,6,0,0,9,7,0,1
2020,은평구,갈현1동,9,3,0,1,4,1,0,0
2020,은평구,갈현2동,13,5,0,0,5,2,1,0
2020,은평구,구산동,15,6,0,1,7,1,0,0
2020,은평구,대조동,13,3,0,1,6,3,0,0
2020,은평구,응암1동,13,5,0,0,7,1,0,0
2020,은평구,응암2동,19,10,0,0,3,6,0,0
2020,은평구,신사1동,13,2,0,0,8,3,0,0
2020,은평구,신사2동,10,3,0,0,7,0,0,0
2020,은평구,증산동,12,2,0,0,2,8,0,0
