행정동코드,시도명,시군구명,자치구,행정동,법정동코드,동리명
1111051500,서울특별시,종로구,종로구,청운효자동,1111010100,청운동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010200,신교동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010300,궁정동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010400,효자동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010500,창성동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010800,통인동
1111051500,서울특별시,종로구,종로구,청운효자동,1111010900,누상동
1111051500,서울특별시,종로구,종로구,청운효자동,1111011000,누하동
1111051500,서울특별시,종로구,종로구,청운효자동,1111011100,옥인동
1111051500,서울특별시,종로구,종로구,청운효자동,1111011900,세종로
1111053000,서울특별시,종로구,종로구,사직동,1111010600,통의동
1111053000,서울특별시,종로구,종로구,사직동,1111010700,적선동
1111053000,서울특별시,종로구,종로구,사직동,1111011200,체부동
1111053000,서울특별시,종로구,종로구,사직동,1111011300,필운동
1111053000,서울특별시,종로구,종로구,사직동,1111011400,내자동
1111053000,서울특별시,종로구,종로구,사직동,1111011500,사직동
1111053000,서울특별시,종로구,종로구,사직동,1111011600,도렴동
1111053000,서울특별시,종로구,종로구,사직동,1111011700,당주동
1111053000,서울특별시,종로구,종로구,사직동,1111011800,내수동
1111053000,서울특별시,종로구,종로구,사직동,1111011900,세종로
1111053000,서울특별시,종로구,종로구,사직동,1111012000,신문로1가
1111053000,서울특별시,종로구,종로구,사직동,1111012100,신문로2가
1111054000,서울특별시,종로구,종로구,삼청동,1111013900,팔판동
1111054000,서울특별시,종로구,종로구,삼청동,1111014000,삼청동
1111054000,서울특별시,종로구,종로구,삼청동,1111014100,안국동
1111054000,서울특별시,종로구,종로구,삼청동,1111014200,소격동
1111054000,서울특별시,종로구,종로구,삼청동,1111014300,화동
1111054000,서울특별시,종로구,종로구,삼청동,1111014400,사간동
1111054000,서울특별시,종로구,종로구,삼청동,1111014500,송현동
1111055000,서울특별시,종로구,종로구,부암동,1111018400,부암동
1111055000,서울특별시,종로구,종로구,부암동,1111018500,홍지동
1111055000,서울특별시,종로구,종로구,부암동,1111018600,신영동
1111056000,서울특별시,종로구,종로구,평창동,1111018200,구기동
1111056000,서울특별시,종로구,종로구,평창동,1111018300,평창동
1111057000,서울특별시,종로구,종로구,무악동,1111018700,무악동
