,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
77,2020,광진구,중곡3동,904,236,,,668,,,,628,189,,,439,,,
78,2020,광진구,중곡4동,783,171,,,483,129,,,571,157,,,354,60,,
79,2020,광진구,능동,215,175,,,,40,,,179,147,,,,32,,
80,2020,광진구,구의1동,417,135,,,282,,,,325,102,,,223,,,
81,2020,광진구,구의2동,657,152,,,350,57,49,49,508,139,,,269,54,31,15
82,2020,광진구,구의3동,574,277,,,122,175,,,487,238,,,89,160,,
83,2020,광진구,광장동,510,242,,,83,136,,49,449,231,,,76,106,,36
84,2020,광진구,자양1동,658,161,,,387,58,,52,507,136,,,308,27,,36
85,2020,광진구,자양2동,558,196,,,249,113,,,424,174,,,177,73,,
86,2020,광진구,자양3동,672,239,,,337,96,,,618,225,,,303,90,,
87,2020,광진구,자양4동,383,175,,,153,55,,,301,148,,,105,48,,
88,2020,동대문구,소계,"8,444","3,709",,204,"2,868","1,267",,396,"6,860","3,178",,148,"2,225","1,064",,245
89,2020,동대문구,회기동,223,74,,,,39,,110,168,67,,,,27,,74
90,2020,동대문구,휘경1동,309,79,,,191,39,,,230,68,,,136,26,,
91,2020,동대문구,휘경2동,627,177,,99,174,134,,43,498,158,,76,146,104,,14
92,2020,동대문구,청량리동,367,142,,,128,58,,39,234,81,,,87,36,,30
93,2020,동대문구,용신동,696,241,,,307,39,,109,501,185,,,215,27,,74
94,2020,동대문구,제기동,579,332,,,171,76,,,413,276,,,82,55,,
95,2020,동대문구,전농1동,724,371,,49,247,57,,,618,339,,26,199,54,,
96,2020,동대문구,전농2동,490,220,,,127,78,,65,390,199,,,83,70,,38
97,2020,동대문구,답십리2동,842,227,,56,459,100,,,709,197,,46,371,95,,
98,2020,동대문구,장안1동,"1,166",692,,,237,237,,,"1,081",648,,,211,222,,
99,2020,동대문구,장안2동,779,391,,,210,178,,,676,340,,,187,149,,
100,2020,동대문구,이문1동,341,101,,,170,40,,30,234,98,,,88,33,,15
101,2020,동대문구,이문2동,569,235,,,234,100,,,489,198,,,214,77,,
102,2020,동대문구,답십리1동,732,427,,,213,92,,,619,324,,,206,89,,
103,2020,중랑구,소계,"10,652","3,865",,276,"4,933","1,320",26,232,"8,448","3,268",,229,"3,692","1,052",24,183
104,2020,중랑구,면목2동,745,141,,,548,56,,,529,123,,,357,49,,
105,2020,중랑구,면목4동,502,195,,,268,39,,,356,166,,,157,33,,
106,2020,중랑구,면목5동,290,162,,,128,,,,243,156,,,87,,,
107,2020,중랑구,면목7동,608,195,,,363,50,,,500,168,,,295,37,,
108,2020,중랑구,상봉1동,517,273,,,129,115,,,437,234,,,119,84,,
109,2020,중랑구,상봉2동,479,101,,151,167,,,60,356,67,,123,138,,,28
110,2020,중랑구,중화1동,520,179,,,191,150,,,427,131,,,159,137,,
111,2020,중랑구,중화2동,472,252,,,183,37,,,379,208,,,151,20,,
112,2020,중랑구,묵1동,963,331,,39,399,194,,,719,282,,25,260,152,,
113,2020,중랑구,묵2동,469,131,,,279,59,,,361,114,,,190,57,,
114,2020,중랑구,망우3동,537,94,,,443,,,,386,85,,,301,,,
115,2020,중랑구,신내1동,"1,532",681,,20,433,299,26,73,"1,273",572,,17,358,242,24,60
116,2020,중랑구,신내2동,610,95,,66,153,197,,99,518,90,,64,126,143,,95
117,2020,중랑구,면목본동,788,221,,,533,34,,,680,193,,,461,26,,
118,2020,중랑구,면목3.8동,770,502,,,217,51,,,662,415,,,210,37,,
119,2020,중랑구,망우본동,850,312,,,499,39,,,622,264,,,323,35,,
120,2020,성북구,소계,"10,091","4,565",109,897,"2,705","1,502",49,264,"7,947","3,715",92,770,"2,006","1,144",40,180
121,2020,성북구,돈암1동,241,,,67,115,59,,,178,,,53,86,39,,
122,2020,성북구,돈암2동,497,384,,,,113,,,447,342,,,,105,,
123,2020,성북구,안암동,389,234,,,,10,,145,259,160,,,,2,,97
124,2020,성북구,보문동,354,111,,79,164,,,,280,85,,61,134,,,
125,2020,성북구,정릉1동,502,187,,,296,19,,,433,164,,,250,19,,
126,2020,성북구,정릉2동,295,40,,,127,98,30,,220,37,,,102,59,22,
127,2020,성북구,정릉3동,446,253,,193,,,,,345,180,,165,,,,
128,2020,성북구,정릉4동,717,356,,185,106,70,,,627,322,,156,86,63,,
129,2020,성북구,길음1동,984,326,,,292,347,19,,759,269,,,234,238,18,
130,2020,성북구,길음2동,373,250,,,64,59,,,329,216,,,60,53,,
131,2020,성북구,월곡1동,715,278,79,99,86,173,,,588,256,75,89,62,106,,
132,2020,성북구,월곡2동,554,290,,44,71,79,,70,429,227,,42,53,63,,44
133,2020,성북구,장위1동,402,231,,,131,40,,,247,127,,,80,40,,
134,2020,성북구,장위2동,398,42,,74,262,20,,,302,39,,69,176,18,,
135,2020,성북구,장위3동,528,230,,20,182,96,,,456,215,,16,139,86,,
136,2020,성북구,성북동,231,161,30,,27,13,,,189,149,17,,10,13,,
137,2020,성북구,삼선동,412,248,,,75,40,,49,292,181,,,37,35,,39
138,2020,성북구,동선동,293,157,,90,46,,,,236,124,,74,38,,,
139,2020,성북구,종암동,"1,099",429,,46,506,118,,,776,327,,45,329,75,,
140,2020,성북구,석관동,661,358,,,155,148,,,555,295,,,130,130,,
141,2020,강북구,소계,"7,748","2,847",74,119,"4,122",442,43,101,"6,079","2,383",51,75,"3,175",316,23,56
142,2020,강북구,번1동,369,173,,,111,36,,49,275,165,,,73,18,,19
143,2020,강북구,번2동,464,176,,,254,34,,,380,148,,,205,27,,
144,2020,강북구,번3동,446,81,74,,213,78,,,340,77,51,,152,60,,
145,2020,강북구,수유1동,798,109,,,677,12,,,590,85,,,498,7,,
146,2020,강북구,수유2동,661,127,,,495,39,,,530,106,,,403,21,,
147,2020,강북구,수유3동,482,49,,49,332,,,52,368,25,,36,270,,,37
148,2020,강북구,삼양동,742,419,,70,175,78,,,533,323,,39,111,60,,
149,2020,강북구,미아동,399,198,,,183,18,,,283,158,,,111,14,,
150,2020,강북구,송중동,724,405,,,304,15,,,600,342,,,250,8,,
151,2020,강북구,송천동,482,152,,,297,33,,,366,135,,,201,30,,
152,2020,강북구,삼각산동,"1,091",454,,,538,99,,,879,362,,,446,71,,
153,2020,강북구,우이동,696,175,,,494,,27,,597,167,,,407,,23,
154,2020,강북구,인수동,394,329,,,49,,16,,338,290,,,48,,,
155,2020,도봉구,소계,"8,811","2,883",33,67,"4,138","1,397",29,264,"6,701","2,505",26,48,"2,949",979,29,165
156,2020,도봉구,쌍문1동,632,79,,,498,55,,,377,79,,,265,33,,
