,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
105,2020,중랑구,면목7동,12,4,-,-,5,3,-,-
106,2020,중랑구,상봉1동,13,5,-,-,2,6,-,-
107,2020,중랑구,상봉2동,6,1,-,1,3,-,-,1
108,2020,중랑구,중화1동,15,3,-,-,4,8,-,-
109,2020,중랑구,중화2동,8,3,-,-,3,2,-,-
110,2020,중랑구,묵1동,23,5,-,1,6,11,-,-
111,2020,중랑구,묵2동,11,3,-,-,5,3,-,-
112,2020,중랑구,망우3동,9,1,-,-,8,-,-,-
113,2020,중랑구,신내1동,35,11,-,1,6,15,1,1
114,2020,중랑구,신내2동,21,4,-,1,2,13,-,1
115,2020,중랑구,면목본동,12,2,-,-,8,2,-,-
116,2020,중랑구,면목3.8동,13,6,-,-,4,3,-,-
117,2020,중랑구,망우본동,16,5,-,-,9,2,-,-
118,2020,성북구,소계,246,88,2,14,56,79,2,5
119,2020,성북구,돈암1동,7,-,-,1,3,3,-,-
120,2020,성북구,돈암2동,13,7,-,-,-,6,-,-
121,2020,성북구,안암동,8,4,-,-,-,1,-,3
122,2020,성북구,보문동,6,2,-,1,3,-,-,-
123,2020,성북구,정릉1동,12,6,-,-,5,1,-,-
124,2020,성북구,정릉2동,12,2,-,-,4,5,1,-
125,2020,성북구,정릉3동,6,3,-,3,-,-,-,-
126,2020,성북구,정릉4동,15,7,-,2,2,4,-,-
127,2020,성북구,길음1동,30,5,-,-,6,18,1,-
128,2020,성북구,길음2동,9,5,-,-,1,3,-,-
129,2020,성북구,월곡1동,19,6,1,1,2,9,-,-
130,2020,성북구,월곡2동,13,5,-,1,2,4,-,1
131,2020,성북구,장위1동,9,4,-,-,3,2,-,-
132,2020,성북구,장위2동,7,1,-,1,4,1,-,-
133,2020,성북구,장위3동,13,4,-,1,3,5,-,-
134,2020,성북구,성북동,5,2,1,-,1,1,-,-
135,2020,성북구,삼선동,9,5,-,-,1,2,-,1
136,2020,성북구,동선동,6,3,-,2,1,-,-,-
137,2020,성북구,종암동,28,10,-,1,11,6,-,-
138,2020,성북구,석관동,19,7,-,-,4,8,-,-
139,2020,강북구,소계,144,62,1,2,51,24,2,2
140,2020,강북구,번1동,9,4,-,-,2,2,-,1
141,2020,강북구,번2동,7,2,-,-,3,2,-,-
142,2020,강북구,번3동,10,3,1,-,2,4,-,-
143,2020,강북구,수유1동,9,2,-,-,6,1,-,-
144,2020,강북구,수유2동,12,3,-,-,7,2,-,-
145,2020,강북구,수유3동,9,1,-,1,6,-,-,1
146,2020,강북구,삼양동,15,7,-,1,3,4,-,-
147,2020,강북구,미아동,7,3,-,-,3,1,-,-
148,2020,강북구,송중동,13,8,-,-,4,1,-,-
149,2020,강북구,송천동,9,3,-,-,4,2,-,-
150,2020,강북구,삼각산동,27,17,-,-,5,5,-,-
151,2020,강북구,우이동,10,4,-,-,5,-,1,-
152,2020,강북구,인수동,7,5,-,-,1,-,1,-
153,2020,도봉구,소계,210,63,1,2,60,80,1,3
154,2020,도봉구,쌍문1동,11,1,-,-,7,3,-,-
155,2020,도봉구,쌍문2동,10,3,-,-,3,4,-,-
156,2020,도봉구,쌍문3동,10,2,-,-,5,3,-,-
157,2020,도봉구,쌍문4동,14,5,-,-,1,8,-,-
158,2020,도봉구,방학1동,15,7,-,1,3,3,-,1
159,2020,도봉구,방학2동,11,2,-,-,8,1,-,-
160,2020,도봉구,방학3동,21,6,-,-,1,13,1,-
